L,rate
0.0,17677.1758499982
0.01,17676.913104546387
0.02,17676.65028423869
0.03,17676.387389027954
0.04,17676.12441886703
0.05,17675.86137370877
0.06,17675.59825350598
0.07,17675.335058211527
0.08,17675.071787778215
0.09,17674.808442158836
0.1,17674.5450213062
0.11,17674.28152517306
0.12,17674.01795371226
0.13,17673.754306876526
0.14,17673.490584618605
0.15,17673.22678689122
0.16,17672.962913647192
0.17,17672.69896483919
0.18,17672.434940419953
0.19,17672.170840342154
0.2,17671.906664558563
0.21,17671.642413021793
0.22,17671.378085684562
0.23,17671.113682499552
0.24,17670.849203419406
0.25,17670.584648396783
0.26,17670.320017384318
0.27,17670.055310334646
0.28,17669.790527200377
0.29,17669.525667934126
0.3,17669.26073248851
0.31,17668.99572081611
0.32,17668.73063286952
0.33,17668.46546860129
0.34,17668.200227964004
0.35,17667.934910910208
0.36,17667.66951739244
0.37,17667.40404736323
0.38,17667.138500775138
0.39,17666.872877580634
0.4,17666.60717773225
0.41,17666.341401182468
0.42,17666.075547883756
0.43,17665.809617788636
0.44,17665.543610849527
0.45,17665.277527018883
0.46,17665.011366249204
0.47,17664.74512849286
0.48,17664.478813702342
0.49,17664.21242182999
0.5,17663.94595282826
0.51,17663.679406649568
0.52,17663.412783246233
0.53,17663.146082570685
0.54,17662.879304575275
0.55,17662.61244921235
0.56,17662.345516434256
0.57,17662.07850619337
0.58,17661.81141844195
0.59,17661.544253132368
0.6,17661.27701021693
0.61,17661.00968964789
0.62,17660.742291377548
0.63,17660.474815358233
0.64,17660.207261542153
0.65,17659.93962988159
0.66,17659.6719203288
0.67,17659.404132835985
0.68,17659.13626735541
0.69,17658.868323839273
0.7,17658.600302239796
0.71,17658.332202509155
0.72,17658.064024599553
0.73,17657.79576846316
0.74,17657.52743405215
0.75,17657.259021318685
0.76,17656.990530214916
0.77,17656.72196069296
0.78,17656.45331270494
0.79,17656.184586203013
0.8,17655.91578113926
0.81,17655.646897465762
0.82,17655.37793513465
0.83,17655.108894097943
0.84,17654.839774307773
0.85,17654.570575716167
0.86,17654.301298275153
0.87,17654.031941936817
0.88,17653.762506653147
0.89,17653.492992376145
0.9,17653.223399057853
