L,rate
0.0,17766.399609851876
0.01,17766.06573002244
0.02,17765.731806327418
0.03,17765.397838708002
0.04,17765.063827105485
0.05,17764.729771461058
0.06,17764.39567171596
0.07,17764.0615278114
0.08,17763.727339688616
0.09,17763.393107288808
0.1,17763.05883055322
0.11,17762.724509423068
0.12,17762.390143839533
0.13,17762.05573374384
0.14,17761.721279077225
0.15,17761.38677978087
0.16,17761.052235796004
0.17,17760.717647063793
0.18,17760.38301352546
0.19,17760.048335122214
0.2,17759.713611795236
0.21,17759.378843485734
0.22,17759.044030134897
0.23,17758.7091716839
0.24,17758.37426807396
0.25,17758.03931924625
0.26,17757.704325141938
0.27,17757.36928570223
0.28,17757.034200868296
0.29,17756.699070581308
0.3,17756.363894782444
0.31,17756.028673412893
0.32,17755.693406413815
0.33,17755.358093726365
0.34,17755.022735291746
0.35,17754.687331051067
0.36,17754.35188094553
0.37,17754.016384916307
0.38,17753.68084290451
0.39,17753.345254851323
0.4,17753.009620697914
0.41,17752.6739403854
0.42,17752.338213854942
0.43,17752.002441047684
0.44,17751.66662190479
0.45,17751.33075636736
0.46,17750.99484437657
0.47,17750.658885873534
0.48,17750.3228807994
0.49,17749.986829095284
0.5,17749.650730702335
0.51,17749.314585561668
0.52,17748.978393614423
0.53,17748.64215480169
0.54,17748.30586906461
0.55,17747.96953634431
0.56,17747.633156581884
0.57,17747.29672971846
0.58,17746.960255695132
0.59,17746.623734453024
0.6,17746.287165933216
0.61,17745.950550076825
0.62,17745.61388682497
0.63,17745.277176118725
0.64,17744.94041789919
0.65,17744.603612107458
0.66,17744.266758684622
0.67,17743.92985757175
0.68,17743.592908709954
0.69,17743.25591204032
0.7,17742.918867503893
0.71,17742.581775041777
0.72,17742.244634595034
0.73,17741.907446104742
0.74,17741.570209511963
0.75,17741.232924757773
0.76,17740.895591783225
0.77,17740.558210529394
0.78,17740.220780937336
0.79,17739.8833029481
0.8,17739.545776502742
0.81,17739.208201542304
0.82,17738.870578007856
0.83,17738.532905840417
0.84,17738.195184981036
0.85,17737.857415370785
0.86,17737.519596950657
0.87,17737.181729661712
0.88,17736.843813444964
0.89,17736.505848241468
0.9,17736.167833992225
0.91,17735.82977063827
0.92,17735.491658120627
0.93,17735.15349638031
0.94,17734.81528535832
0.95,17734.47702499569
0.96,17734.13871523342
0.97,17733.80035601253
0.98,17733.461947274
0.99,17733.12348895884
1.0,17732.784981008073
1.01,17732.446423362668
1.02,17732.107815963616
1.03,17731.769158751915
1.04,17731.43045166855
1.05,17731.091694654508
1.06,17730.75288765078
1.07,17730.414030598316
1.08,17730.075123438128
1.09,17729.736166111143
1.1,17729.397158558364
1.11,17729.05810072076
1.12,17728.718992539274
1.13,17728.37983395488
1.14,17728.04062490854
1.15,17727.70136534119
1.16,17727.362055193797
1.17,17727.022694407304
1.18,17726.683282922655
1.19,17726.343820680813
1.2,17726.004307622694
1.21,17725.664743689234
1.22,17725.32512882138
1.23,17724.985462960063
1.24,17724.645746046182
1.25,17724.30597802072
1.26,17723.96615882454
1.27,17723.626288398595
1.28,17723.286366683784
1.29,17722.94639362103
1.3,17722.606369151217
1.31,17722.266293215293
1.32,17721.926165754132
1.33,17721.58598670866
1.34,17721.24575601972
1.35,17720.90547362826
1.36,17720.565139475162
1.37,17720.22475350129
1.38,17719.88431564754
1.39,17719.543825854787
1.4,17719.203284063933
1.41,17718.862690215832
1.42,17718.522044251353
1.43,17718.18134611138
1.44,17717.84059573676
1.45,17717.49979306836
1.46,17717.158938047047
1.47,17716.818030613656
1.48,17716.477070709076
1.49,17716.13605827412
1.5,17715.794993249656
1.51,17715.453875576513
1.52,17715.11270519555
1.53,17714.771482047567
1.54,17714.43020607342
1.55,17714.088877213937
1.56,17713.747495409945
1.57,17713.40606060227
1.58,17713.06457273171
1.59,17712.7230317391
1.6,17712.381437565262
1.61,17712.039790150975
1.62,17711.698089437075
1.63,17711.356335364333
1.64,17711.014527873587
1.65,17710.67266690558
1.66,17710.33075240115
1.67,17709.98878430107
1.68,17709.646762546134
1.69,17709.304687077103
1.7,17708.96255783478
1.71,17708.620374759925
1.72,17708.278137793302
1.73,17707.935846875695
1.74,17707.593501947857
1.75,17707.25110295057
