L,rate
0.0,17775.079073331028
0.01,17774.785554504302
0.02,17774.491988271362
0.03,17774.198374579933
0.04,17773.904713377742
0.05,17773.611004612485
0.06,17773.3172482319
0.07,17773.02344418368
0.08,17772.729592415548
0.09,17772.43569287522
0.1,17772.14174551037
0.11,17771.847750268687
0.12,17771.553707097893
0.13,17771.25961594566
0.14,17770.965476759673
0.15,17770.67128948761
0.16,17770.377054077162
0.17,17770.082770475976
0.18,17769.78843863173
0.19,17769.49405849209
0.2,17769.19963000471
0.21,17768.905153117274
0.22,17768.610627777405
0.23,17768.31605393275
0.24,17768.021431530968
0.25,17767.726760519694
0.26,17767.432040846543
0.27,17767.137272459182
0.28,17766.84245530523
0.29,17766.547589332295
0.3,17766.252674487998
0.31,17765.957710719973
0.32,17765.662697975804
0.33,17765.367636203126
0.34,17765.072525349537
0.35,17764.777365362614
0.36,17764.482156189973
0.37,17764.186897779215
0.38,17763.8915900779
0.39,17763.596233033604
0.4,17763.300826593942
0.41,17763.005370706458
0.42,17762.709865318746
0.43,17762.41431037835
0.44,17762.118705832847
0.45,17761.823051629774
0.46,17761.527347716736
0.47,17761.23159404121
0.48,17760.935790550793
0.49,17760.639937192987
0.5,17760.344033915375
0.51,17760.048080665456
0.52,17759.75207739077
0.53,17759.456024038816
0.54,17759.15992055716
0.55,17758.863766893282
0.56,17758.567562994704
0.57,17758.271308808937
0.58,17757.975004283464
0.59,17757.678649365804
0.6,17757.382244003446
0.61,17757.08578814388
0.62,17756.789281734564
0.63,17756.49272472303
0.64,17756.196117056716
0.65,17755.89945868312
0.66,17755.60274954966
0.67,17755.305989603865
0.68,17755.009178793163
0.69,17754.712317064987
0.7,17754.415404366824
0.71,17754.118440646107
0.72,17753.821425850267
0.73,17753.524359926752
0.74,17753.227242822995
0.75,17752.93007448643
0.76,17752.632854864445
0.77,17752.33558390452
0.78,17752.038261554022
0.79,17751.740887760374
0.8,17751.443462470983
0.81,17751.14598563326
0.82,17750.848457194585
0.83,17750.550877102352
0.84,17750.253245303953
0.85,17749.955561746807
0.86,17749.65782637822
0.87,17749.360039145624
0.88,17749.062199996377
0.89,17748.764308877846
0.9,17748.46636573736
0.91,17748.16837052231
0.92,17747.870323180065
0.93,17747.572223657913
0.94,17747.274071903248
0.95,17746.975867863384
0.96,17746.67761148567
0.97,17746.379302717418
0.98,17746.080941505945
0.99,17745.78252779862
1.0,17745.48406154269
1.01,17745.185542685515
1.02,17744.886971174383
1.03,17744.588346956596
1.04,17744.289669979444
1.05,17743.99094019024
1.06,17743.692157536265
1.07,17743.393321964777
1.08,17743.09443342309
1.09,17742.795491858455
1.1,17742.49649721814
1.11,17742.19744944942
1.12,17741.898348499533
1.13,17741.599194315775
1.14,17741.299986845344
1.15,17741.00072603552
1.16,17740.701411833543
1.17,17740.402044186627
1.18,17740.10262304202
1.19,17739.80314834694
1.2,17739.503620048617
1.21,17739.204038094267
1.22,17738.904402431086
1.23,17738.6047130063
1.24,17738.304969767105
1.25,17738.005172660698
1.26,17737.705321634247
1.27,17737.405416635
1.28,17737.10545761008
1.29,17736.805444506695
1.3,17736.505377272
1.31,17736.205255853183
1.32,17735.905080197408
1.33,17735.60485025181
1.34,17735.30456596357
1.35,17735.004227279824
1.36,17734.703834147713
1.37,17734.40338651438
1.38,17734.10288432695
1.39,17733.802327532587
1.4,17733.501716078354
1.41,17733.201049911433
1.42,17732.900328978918
1.43,17732.5995532279
1.44,17732.2987226055
1.45,17731.997837058814
1.46,17731.69689653493
1.47,17731.395900980966
1.48,17731.094850343965
1.49,17730.793744571034
1.5,17730.492583609233
1.51,17730.191367405663
1.52,17729.890095907347
1.53,17729.588769061378
1.54,17729.287386814787
1.55,17728.985949114627
1.56,17728.684455907962
1.57,17728.382907141822
1.58,17728.081302763232
1.59,17727.77964271923
1.6,17727.477926956835
1.61,17727.17615542309
1.62,17726.874328064972
1.63,17726.572444829522
1.64,17726.270505663713
1.65,17725.968510514573
1.66,17725.666459329088
1.67,17725.36435205424
1.68,17725.062188637006
1.69,17724.75996902438
1.7,17724.457693163346
1.71,17724.15536100085
1.72,17723.85297248386
1.73,17723.550527559342
1.74,17723.248026174224
1.75,17722.945468275495
1.76,17722.642853810063
1.77,17722.34018272487
1.78,17722.03745496687
1.79,17721.73467048299
1.8,17721.431829220113
1.81,17721.128931125186
1.82,17720.82597614513
1.83,17720.522964226817
1.84,17720.219895317172
1.85,17719.916769363073
1.86,17719.613586311432
1.87,17719.310346109127
1.88,17719.00704870303
1.89,17718.703694040025
1.9,17718.40028206697
1.91,17718.096812730728
1.92,17717.793285978172
1.93,17717.48970175615
1.94,17717.186060011507
1.95,17716.882360691077
1.96,17716.57860374172
1.97,17716.27478911025
1.98,17715.970916743492
1.99,17715.666986588283
2.0,17715.362998591416
2.01,17715.058952699725
2.02,17714.754848859997
2.03,17714.450687019045
